date,pair,spot,domestic_rate,foreign_rate,forward_points
2025-01-01,EURUSD,1.082000,0.04500,0.03202,11.548
2025-01-02,EURUSD,1.083454,0.04500,0.03201,11.595
2025-01-03,EURUSD,1.084899,0.04500,0.03201,11.641
2025-01-04,EURUSD,1.086306,0.04501,0.03201,11.684
2025-01-05,EURUSD,1.087651,0.04501,0.03201,11.724
2025-01-06,EURUSD,1.088910,0.04501,0.03201,11.758
2025-01-07,EURUSD,1.090063,0.04501,0.03201,11.787
2025-01-08,EURUSD,1.091091,0.04501,0.03201,11.808
2025-01-09,EURUSD,1.091982,0.04501,0.03201,11.822
2025-01-10,EURUSD,1.092726,0.04502,0.03201,11.829
2025-01-11,EURUSD,1.093317,0.04502,0.03201,11.828
2025-01-12,EURUSD,1.093756,0.04502,0.03201,11.819
2025-01-13,EURUSD,1.094046,0.04502,0.03200,11.805
2025-01-14,EURUSD,1.094195,0.04502,0.03200,11.784
2025-01-15,EURUSD,1.094216,0.04502,0.03200,11.759
2025-01-16,EURUSD,1.094126,0.04502,0.03200,11.731
2025-01-17,EURUSD,1.093943,0.04502,0.03200,11.701
2025-01-18,EURUSD,1.093690,0.04502,0.03200,11.670
2025-01-19,EURUSD,1.093391,0.04502,0.03199,11.640
2025-01-20,EURUSD,1.093072,0.04502,0.03199,11.612
2025-01-21,EURUSD,1.092760,0.04502,0.03199,11.587
2025-01-22,EURUSD,1.092479,0.04502,0.03199,11.567
2025-01-23,EURUSD,1.092256,0.04502,0.03199,11.553
2025-01-24,EURUSD,1.092114,0.04501,0.03199,11.545
2025-01-25,EURUSD,1.092075,0.04501,0.03199,11.543
2025-01-26,EURUSD,1.092157,0.04501,0.03199,11.549
2025-01-27,EURUSD,1.092374,0.04501,0.03199,11.562
2025-01-28,EURUSD,1.092739,0.04501,0.03199,11.581
2025-01-29,EURUSD,1.093258,0.04501,0.03199,11.606
2025-01-30,EURUSD,1.093933,0.04500,0.03199,11.637
2025-01-31,EURUSD,1.094762,0.04500,0.03199,11.671
2025-02-01,EURUSD,1.095739,0.04500,0.03199,11.709
2025-02-02,EURUSD,1.096853,0.04500,0.03199,11.749
2025-02-03,EURUSD,1.098087,0.04500,0.03199,11.789
2025-02-04,EURUSD,1.099425,0.04499,0.03199,11.828
2025-02-05,EURUSD,1.100843,0.04499,0.03199,11.865
2025-02-06,EURUSD,1.102318,0.04499,0.03199,11.898
2025-02-07,EURUSD,1.103822,0.04499,0.03199,11.927
2025-02-08,EURUSD,1.105329,0.04499,0.03199,11.951
2025-02-09,EURUSD,1.106811,0.04499,0.03199,11.969
2025-02-10,EURUSD,1.108239,0.04498,0.03200,11.980
2025-02-11,EURUSD,1.109587,0.04498,0.03200,11.984
2025-02-12,EURUSD,1.110830,0.04498,0.03200,11.982
2025-02-13,EURUSD,1.111946,0.04498,0.03200,11.974
2025-02-14,EURUSD,1.112917,0.04498,0.03200,11.959
2025-02-15,EURUSD,1.113726,0.04498,0.03200,11.940
2025-02-16,EURUSD,1.114362,0.04498,0.03201,11.917
2025-02-17,EURUSD,1.114818,0.04498,0.03201,11.890
2025-02-18,EURUSD,1.115093,0.04498,0.03201,11.862
2025-02-19,EURUSD,1.115187,0.04498,0.03201,11.834
2025-02-20,EURUSD,1.115109,0.04498,0.03201,11.805
2025-02-21,EURUSD,1.114871,0.04498,0.03201,11.779
2025-02-22,EURUSD,1.114486,0.04498,0.03201,11.756
2025-02-23,EURUSD,1.113976,0.04498,0.03201,11.736
2025-02-24,EURUSD,1.113363,0.04498,0.03201,11.722
2025-02-25,EURUSD,1.112671,0.04499,0.03201,11.712
2025-02-26,EURUSD,1.111929,0.04499,0.03201,11.709
2025-02-27,EURUSD,1.111165,0.04499,0.03201,11.711
2025-02-28,EURUSD,1.110407,0.04499,0.03201,11.719
2025-03-01,EURUSD,1.109685,0.04499,0.03201,11.733
2025-03-02,EURUSD,1.109026,0.04499,0.03201,11.752
2025-03-03,EURUSD,1.108456,0.04500,0.03201,11.775
2025-03-04,EURUSD,1.107998,0.04500,0.03201,11.801
2025-03-05,EURUSD,1.107672,0.04500,0.03201,11.830
2025-03-06,EURUSD,1.107494,0.04500,0.03201,11.861
2025-03-07,EURUSD,1.107478,0.04500,0.03201,11.892
2025-03-08,EURUSD,1.107631,0.04501,0.03201,11.923
2025-03-09,EURUSD,1.107956,0.04501,0.03201,11.951
2025-03-10,EURUSD,1.108453,0.04501,0.03200,11.978
2025-03-11,EURUSD,1.109115,0.04501,0.03200,12.000
2025-03-12,EURUSD,1.109933,0.04501,0.03200,12.019
2025-03-13,EURUSD,1.110892,0.04501,0.03200,12.033
2025-03-14,EURUSD,1.111975,0.04502,0.03200,12.043
2025-03-15,EURUSD,1.113160,0.04502,0.03200,12.047
2025-03-16,EURUSD,1.114423,0.04502,0.03199,12.047
2025-03-17,EURUSD,1.115740,0.04502,0.03199,12.043
2025-03-18,EURUSD,1.117083,0.04502,0.03199,12.034
2025-03-19,EURUSD,1.118425,0.04502,0.03199,12.023
2025-03-20,EURUSD,1.119740,0.04502,0.03199,12.009
2025-03-21,EURUSD,1.121003,0.04502,0.03199,11.993
2025-03-22,EURUSD,1.122189,0.04502,0.03199,11.977
2025-03-23,EURUSD,1.123277,0.04502,0.03199,11.962
2025-03-24,EURUSD,1.124249,0.04502,0.03199,11.947
2025-03-25,EURUSD,1.125091,0.04502,0.03199,11.935
2025-03-26,EURUSD,1.125791,0.04502,0.03199,11.926
2025-03-27,EURUSD,1.126345,0.04502,0.03199,11.919
2025-03-28,EURUSD,1.126749,0.04501,0.03199,11.917
2025-03-29,EURUSD,1.127007,0.04501,0.03199,11.919
2025-03-30,EURUSD,1.127126,0.04501,0.03199,11.925
2025-03-31,EURUSD,1.127117,0.04501,0.03199,11.935
2025-04-01,EURUSD,1.126995,0.04501,0.03199,11.949
2025-04-02,EURUSD,1.126780,0.04501,0.03199,11.965
2025-04-03,EURUSD,1.126492,0.04500,0.03199,11.985
2025-04-04,EURUSD,1.126156,0.04500,0.03199,12.007
2025-04-05,EURUSD,1.125797,0.04500,0.03199,12.029
2025-04-06,EURUSD,1.125441,0.04500,0.03199,12.052
2025-04-07,EURUSD,1.125116,0.04500,0.03200,12.075
2025-04-08,EURUSD,1.124846,0.04499,0.03200,12.095
2025-04-09,EURUSD,1.124657,0.04499,0.03200,12.114
2025-04-10,EURUSD,1.124570,0.04499,0.03200,12.129
2025-04-11,EURUSD,1.124606,0.04499,0.03200,12.142
2025-04-12,EURUSD,1.124781,0.04499,0.03200,12.150
2025-04-13,EURUSD,1.125108,0.04498,0.03200,12.154
2025-04-14,EURUSD,1.125595,0.04498,0.03201,12.154
2025-04-15,EURUSD,1.126245,0.04498,0.03201,12.150
2025-04-16,EURUSD,1.127060,0.04498,0.03201,12.143
2025-04-17,EURUSD,1.128032,0.04498,0.03201,12.133
2025-04-18,EURUSD,1.129153,0.04498,0.03201,12.120
2025-04-19,EURUSD,1.130409,0.04498,0.03201,12.106
2025-04-20,EURUSD,1.131782,0.04498,0.03201,12.090
2025-04-21,EURUSD,1.133251,0.04498,0.03201,12.076
2025-04-22,EURUSD,1.134792,0.04498,0.03201,12.062
2025-04-23,EURUSD,1.136379,0.04498,0.03201,12.050
2025-04-24,EURUSD,1.137983,0.04498,0.03201,12.042
2025-04-25,EURUSD,1.139577,0.04498,0.03201,12.037
2025-04-26,EURUSD,1.141133,0.04498,0.03201,12.036
2025-04-27,EURUSD,1.142621,0.04498,0.03201,12.040
2025-04-28,EURUSD,1.144017,0.04498,0.03201,12.049
2025-04-29,EURUSD,1.145295,0.04499,0.03201,12.062
2025-04-30,EURUSD,1.146436,0.04499,0.03201,12.081
